OPEN_TIME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TRADE_VOLUME,CLOSE_TIME,QUOTE_ASSET_VOLUME,TRADE_COUNT,TAKER_BUY_BASE,TAKER_BUY_QUOTE,IGNORE,SYMBOL,PATTERN,MATCH_COUNT,CURRENT_TREND,MAX_PUMP,MAX_DUMP,ETP,PATTERN_RANK,PATTERN_SCORE
2021-02-20,0.51278,0.53269,0.50139,0.52799,107507193.20000000,2021-02-20 23:59:59.999,56065172.75723700,86976,53999944.90000000,28161990.28692800,0,XLMUSDT,CDL3OUTSIDE_Bull,2.0,102.96618432856195,103.88275673778229,97.77877452318732,1,34.0,100.0
2021-02-20,1.2633,1.2941,1.2301,1.2764,13376325.03000000,2021-02-20 23:59:59.999,16874674.80265000,32438,6565143.24000000,8287297.42289400,0,ONTUSDT,NO_PATTERN,0.0,101.03696667458244,102.43805905169,97.37196232090555,1,,
2021-02-20,0.0607,0.062,0.05811,0.06134,914878365.80000000,2021-02-20 23:59:59.999,55207802.64719600,76260,441360717.10000000,26641333.62293200,0,TRXUSDT,NO_PATTERN,0.0,101.05436573311368,102.14168039538716,95.73311367380562,1,,
2021-02-20,15.3941,17.4822,15.0179,17.0508,3309117.50000000,2021-02-20 23:59:59.999,54149228.30375500,91104,1809913.30000000,29612458.74751400,0,ETCUSDT,NO_PATTERN,0.0,110.76191527923034,113.56428761668431,97.55620659863193,1,,
2021-02-20,2.2724,2.2856,2.1525,2.2337,5219065.10000000,2021-02-20 23:59:59.999,11501282.87978800,28243,2526031.18000000,5566435.73889300,0,ICXUSDT,CDLXSIDEGAP3METHODS_Bull,1.0,98.29695476148564,100.5808836472452,94.72364020418938,1,27.0,100.0
2021-02-20,0.7168,0.7247,0.6947,0.7229,697892.59000000,2021-02-20 23:59:59.999,492717.79257700,4734,354661.16000000,250716.92042100,0,NULSUSDT,NO_PATTERN,0.0,100.85100446428572,101.10212053571428,96.91685267857143,1,,
2021-02-20,0.053592,0.05677,0.0525,0.056501,808752647.00000000,2021-02-20 23:59:59.999,44276044.28658300,77545,423681061.00000000,23207316.61119200,0,VETUSDT,CDLENGULFING_Bull,1.0,105.42804896253173,105.92998955067921,97.96238244514106,1,84.0,100.0
2021-02-20,0.9995,1.0005,0.9992,0.9997,3821287.78000000,2021-02-20 23:59:59.999,3820072.67927100,2021,1823665.40000000,1823181.48470400,0,PAXUSDT,NO_PATTERN,0.0,100.02001000500249,100.1000500250125,99.96998499249624,1,,
2021-02-20,0.9997,1.0006,0.9995,0.9996,56152840.77000000,2021-02-20 23:59:59.999,56141788.13827800,19311,24038421.48000000,24034949.15239300,0,USDCUSDT,CDLMATCHINGLOW_Bull,1.0,99.98999699909973,100.09002700810241,99.97999399819946,1,7.0,100.0
2021-02-20,34.6846,35.4208,33.7921,35.0631,2458900.55000000,2021-02-20 23:59:59.999,85054108.08972700,92217,1197695.01000000,41449397.17105800,0,LINKUSDT,NO_PATTERN,0.0,101.09126240464066,102.12255583169474,97.42681189922904,3,,
2021-02-20,12.5662,12.8253,12.0,12.703,402205.28000000,2021-02-20 23:59:59.999,5056141.15449600,16194,168660.80000000,2121415.30011400,0,WAVESUSDT,NO_PATTERN,0.0,101.08863459120496,102.06188028202638,95.49426238640162,1,,
2021-02-20,0.0014273,0.0015555,0.0013851,0.0014415,13172752651.00000000,2021-02-20 23:59:59.999,19154511.89579670,61897,6317130072.00000000,9201767.82353740,0,BTTUSDT,NO_PATTERN,0.0,100.99488544804875,108.98199397463742,97.04336859805225,1,,
2021-02-20,0.4487,0.4637,0.4265,0.4455,1923434.56000000,2021-02-20 23:59:59.999,852033.17863000,7249,850876.24000000,377553.46234000,0,ONGUSDT,CDLHIKKAKE_Bear,1.0,99.28682861600178,103.34299086249163,95.05237352351237,1,83.0,100.0
2021-02-20,0.0018535,0.0020423,0.0017533,0.0019776,3495991096.00000000,2021-02-20 23:59:59.999,6641129.69854370,28767,1828142019.00000000,3481530.54763200,0,HOTUSDT,CDL3OUTSIDE_Bull,1.0,106.69544105745888,110.18613434043701,94.59401132991637,1,34.0,100.0
2021-02-20,0.14922,0.154,0.14,0.14986,141903909.90000000,2021-02-20 23:59:59.999,20742826.05439400,54433,70831052.20000000,10358838.63708000,0,ZILUSDT,NO_PATTERN,0.0,100.42889693070633,103.203323951213,93.8212035920118,1,,
2021-02-20,1.56,1.65,1.5149,1.6339,5530057.17000000,2021-02-20 23:59:59.999,8693059.98083700,18832,3075952.41000000,4837673.83014600,0,ZRXUSDT,NO_PATTERN,0.0,104.73717948717949,105.76923076923077,97.10897435897435,1,,
2021-02-20,0.29148,0.30423,0.27648,0.303,21758915.50000000,2021-02-20 23:59:59.999,6275031.21041400,11979,15964017.80000000,4609251.16807600,0,FETUSDT,NO_PATTERN,0.0,103.95224372169616,104.37422807739809,94.85384932070811,1,,
2021-02-20,0.6141,0.625,0.5949,0.6236,10477291.53000000,2021-02-20 23:59:59.999,6408001.73550500,17885,5242999.69000000,3211231.62375200,0,BATUSDT,NO_PATTERN,0.0,101.5469793193291,101.77495521901972,96.87347337567172,1,,
